Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,Perc_WIDA_AGP,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2024,02,Clark,02080.1,Fine  ES,Regular,31,2,NO,43.9,35.4,10.2,YES,YES,NO,NO,NO,47.8,30.6,36.2,36.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.3,NO,N/A,NO,N/A,YES,2
2024,02,Clark,02081.1,Bozarth ES,Regular,75.5,4,NO,64.4,53.6,15.7,YES,YES,NO,NO,NO,58.8,53.6,44.4,44.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.7,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02082.1,Triggs ES,Regular,52.5,3,NO,46.7,45.6,22.0,YES,YES,NO,NO,NO,51.3,48.2,31.8,31.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.6,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02083.1,ORoarke ES,Regular,78,4,NO,65.2,65.5,42.6,YES,YES,NO,NO,NO,55.2,60.0,75.0,75.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.7,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02084.1,Reedom ES,Regular,61.5,3,NO,51.3,47.0,18.9,YES,YES,NO,NO,NO,45.2,55.0,48.3,48.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.9,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02085.1,Diaz ES,Regular,24,1,YES,41.7,31.8,6.6,YES,YES,NO,NO,NO,42.9,26.9,35.0,35.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.8,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02086.1,Scott ES,Regular,14,1,YES,17.9,8.9,<5,YES,YES,NO,NO,NO,18.1,<5,48.0,48.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.3,NO,N/A,NO,N/A,YES,1
2024,02,Clark,02087.1,Rainbow Dreams ELA ES,District Charter,10,Not Rated,YES,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.2,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02089.1,West Prep ES,Regular,66.5,3,YES,45.6,35.8,8.9,YES,YES,NO,NO,NO,61.1,52.8,30.5,30.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.7,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02090.1,Smalley ES,Regular,100,5,NO,82.0,73.2,34.5,YES,YES,NO,NO,NO,74.5,68.8,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.4,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02091.1,Perkins C ES,Regular,21,1,YES,27.6,21.9,<5,YES,YES,NO,NO,NO,38.2,18.4,25.0,25.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.2,NO,N/A,NO,N/A,YES,2
2024,02,Clark,02092.1,Innovations ES,District Charter,24,1,YES,32.9,24.2,<5,YES,YES,NO,NO,NO,34.7,25.2,31.3,31.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.0,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02093.1,100 Academy SET ES,District Charter,19,1,YES,15.9,11.5,<5,YES,YES,NO,NO,NO,30.6,14.2,27.2,27.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.7,NO,N/A,NO,N/A,NO,N/A
