SCHOOL_ID,SCHOOL_YEAR,SCHOOL_NAME,TOTAL_ENROLLMENT,CHRONIC_ABSENTEEISM_RATE,ABSENTEEISM_TIER,ELA_PCT_PROFICIENT,ELA_SUPPRESSED,MATH_PCT_PROFICIENT,MATH_SUPPRESSED,DBT_UPDATED_AT
2085,2020,Ruben P Diaz Elementary School,669,25,High,21,FALSE,11,FALSE,2026-06-23 16:30:42.783 -0700
2085,2021,Ruben P Diaz Elementary School,668,40,Critical,36,FALSE,27,FALSE,2026-06-23 16:30:42.783 -0700
2085,2022,Ruben P Diaz Elementary School,622,29,High,42,FALSE,34,FALSE,2026-06-23 16:30:42.783 -0700
2085,2023,Ruben P Diaz Elementary School,590,27,High,40,FALSE,31,FALSE,2026-06-23 16:30:42.783 -0700
2085,2024,Ruben P Diaz Elementary School,567,25,High,25,FALSE,23,FALSE,2026-06-23 16:30:42.783 -0700
2086,2020,Jesse D Scott Elementary School,546,43,Critical,17,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2086,2021,Jesse D Scott Elementary School,582,57,Critical,19,FALSE,10,FALSE,2026-06-23 16:30:42.783 -0700
2086,2022,Jesse D Scott Elementary School,644,43,Critical,25,FALSE,16,FALSE,2026-06-23 16:30:42.783 -0700
2086,2023,Jesse D Scott Elementary School,692,42,Critical,18,FALSE,9,FALSE,2026-06-23 16:30:42.783 -0700
2086,2024,Jesse D Scott Elementary School,712,33,Critical,27,FALSE,18,FALSE,2026-06-23 16:30:42.783 -0700
2089,2020,West Preparatory Academy Elementary School,419,19,Moderate,19,FALSE,9,FALSE,2026-06-23 16:30:42.783 -0700
2089,2021,West Preparatory Academy Elementary School,427,34,Critical,33,FALSE,13,FALSE,2026-06-23 16:30:42.783 -0700
2089,2022,West Preparatory Academy Elementary School,386,24,High,37,FALSE,23,FALSE,2026-06-23 16:30:42.783 -0700
2089,2023,West Preparatory Academy Elementary School,361,15,Moderate,46,FALSE,36,FALSE,2026-06-23 16:30:42.783 -0700
2089,2024,West Preparatory Academy Elementary School,389,21,High,43,FALSE,32,FALSE,2026-06-23 16:30:42.783 -0700
2090,2020,James E & A Rae Smalley Elementary School,706,,Critical,69,FALSE,51,FALSE,2026-06-23 16:30:42.783 -0700
2090,2021,James E & A Rae Smalley Elementary School,693,19,Moderate,80,FALSE,73,FALSE,2026-06-23 16:30:42.783 -0700
2090,2022,James E & A Rae Smalley Elementary School,672,14,Moderate,78,FALSE,72,FALSE,2026-06-23 16:30:42.783 -0700
