SCHOOL_ID,SCHOOL_NAME,REGION,ELA_FIRST_YEAR,ELA_LATEST_YEAR,ELA_FIRST_PCT,ELA_LATEST_PCT,ELA_OVERALL_CHANGE,MATH_FIRST_YEAR,MATH_LATEST_YEAR,MATH_FIRST_PCT,MATH_LATEST_PCT,MATH_OVERALL_CHANGE,COMPOSITE_OVERALL_CHANGE,ELA_YEARS_IMPROVED,ELA_YEARS_DECLINED,ELA_YEARS_MEASURED,MATH_YEARS_IMPROVED,MATH_YEARS_DECLINED,MATH_YEARS_MEASURED,COMPOSITE_YEARS_IMPROVED,COMPOSITE_YEARS_DECLINED,ELA_PEAK_YOY,MATH_PEAK_YOY,COMPOSITE_PEAK_YOY,CONSISTENCY_SCORE,IMPROVEMENT_SCORE,ELA_OVERALL_RANK,MATH_OVERALL_RANK,COMPOSITE_OVERALL_RANK,CONSISTENCY_RANK,ELA_PEAK_RANK,MATH_PEAK_RANK,COMPOSITE_PEAK_RANK,IMPROVEMENT_CATEGORY,OVERALL_IMPROVEMENT_RANK,REGIONAL_IMPROVEMENT_RANK
2108,John R Beatty Elementary School,Region 3,2020,2024,42,55,13,2020,2024,18,40,22,17.5,4,0,4,4,0,4,4,0,6,9,7.0,1,0.913,82,58,65,1,190,132,168,Consistently Improving,34,11
2176,Neil C Twitchell Elementary School,Region 3,2020,2024,60,72,12,2020,2024,47,69,22,17.0,3,0,4,3,1,4,4,0,7,10,7.5,1,0.911,91,58,72,1,166,112,151,Consistently Improving,38,12
2322,Mike OCallaghan Middle School i3 Learn Academy,Region 3,2020,2024,42,60,18,2020,2024,29,45,16,17.0,3,0,4,3,0,4,3,0,15,9,12.0,1,0.911,32,117,72,1,20,132,47,Consistently Improving,38,12
2267,Elbert Edwards Elementary School,Region 3,2020,2024,20,35,15,2020,2024,9,24,15,15.0,3,1,4,4,0,4,4,0,8,8,5.0,1,0.901,59,130,94,1,135,157,221,Consistently Improving,43,14
2326,Thurman White Academy of the Arts Middle School,Region 3,2020,2024,57,68,11,2020,2024,27,46,19,15.0,3,1,4,4,0,4,3,0,7,11,7.5,1,0.901,100,87,94,1,166,96,151,Consistently Improving,43,14
2099,Steve Schorr Elementary School,Region 3,2020,2024,48,53,5,2020,2024,28,44,16,10.5,3,1,4,3,1,4,4,0,5,10,4.0,1,0.88,183,117,154,1,226,112,251,Consistently Improving,59,16
2195,Liliam Lujan Hickey Elementary School,Region 3,2020,2024,19,27,8,2020,2024,7,19,12,10.0,3,1,4,4,0,4,4,0,5,6,4.5,1,0.877,139,158,163,1,226,202,237,Consistently Improving,61,17
2120,James Gibson Elementary School,Region 3,2020,2024,39,61,22,2020,2024,24,52,28,25.0,2,2,4,3,1,4,3,1,22,21,21.5,0.75,0.799,16,19,15,69,2,8,1,Consistently Improving,75,18
2249,Gordon McCaw Elementary School,Region 3,2020,2024,63,83,20,2020,2024,52,79,27,23.5,3,1,4,3,0,4,3,1,9,14,11.5,0.75,0.792,24,28,21,69,104,49,55,Consistently Improving,77,19
2136,Martha P King Elementary School,Region 3,2020,2024,44,67,23,2020,2024,34,58,24,23.5,3,1,4,3,1,4,3,1,10,10,10.0,0.75,0.792,13,49,21,69,87,112,88,Consistently Improving,77,19
