SCHOOL_ID,SCHOOL_NAME,REGION,SCHOOL_YEAR,ELA_PCT,ELA_PRIOR_YEAR,ELA_YOY_CHANGE,ELA_DIRECTION,MATH_PCT,MATH_PRIOR_YEAR,MATH_YOY_CHANGE,MATH_DIRECTION,COMPOSITE_PCT,COMPOSITE_YOY_CHANGE
2912,Juvenile Detention 6-12 JR/SR High School,Alternative,2022,,,,,,,,,,
2912,Juvenile Detention 6-12 JR/SR High School,Alternative,2023,,,,,,,,,,
2912,Juvenile Detention 6-12 JR/SR High School,Alternative,2024,,,,,,,,,,
2271,James Bilbray Elementary School,Region 1,2020,57,,,,37,,,,47.0,
2271,James Bilbray Elementary School,Region 1,2021,60,57,3,Up,51,37,14,Up,55.5,8.5
2271,James Bilbray Elementary School,Region 1,2022,61,60,1,Up,56,51,5,Up,58.5,3.0
2271,James Bilbray Elementary School,Region 1,2023,64,61,3,Up,57,56,1,Up,60.5,2.0
2271,James Bilbray Elementary School,Region 1,2024,63,64,-1,Down,57,57,0,Flat,60.0,-0.5
2224,Wendell Williams Elementary School,Transformation Network,2020,,,,,,,,,,
2224,Wendell Williams Elementary School,Transformation Network,2021,18,,,,9,,,,13.5,
2224,Wendell Williams Elementary School,Transformation Network,2022,12,18,-6,Down,,9,,,12.0,-1.5
2224,Wendell Williams Elementary School,Transformation Network,2023,15,12,3,Up,12,,,,13.5,1.5
2224,Wendell Williams Elementary School,Transformation Network,2024,18,15,3,Up,12,12,0,Flat,15.0,1.5
2094,D L Dusty Dickens Elementary School,Transformation Network,2020,33,,,,20,,,,26.5,
2094,D L Dusty Dickens Elementary School,Transformation Network,2021,36,33,3,Up,24,20,4,Up,30.0,3.5
2094,D L Dusty Dickens Elementary School,Transformation Network,2022,36,36,0,Flat,24,24,0,Flat,30.0,0.0
2094,D L Dusty Dickens Elementary School,Transformation Network,2023,36,36,0,Flat,27,24,3,Up,31.5,1.5
2094,D L Dusty Dickens Elementary School,Transformation Network,2024,40,36,4,Up,32,27,5,Up,36.0,4.5
2103,Earl B. Lundy Elementary School,Region 1,2020,,,,,,,,,,
2103,Earl B. Lundy Elementary School,Region 1,2021,,,,,,,,,,
2103,Earl B. Lundy Elementary School,Region 1,2022,,,,,,,,,,
2118,Dorothy Eisenberg Elementary School,Region 1,2020,27,,,,15,,,,21.0,
2118,Dorothy Eisenberg Elementary School,Region 1,2021,44,27,17,Up,28,15,13,Up,36.0,15.0
2118,Dorothy Eisenberg Elementary School,Region 1,2022,43,44,-1,Down,37,28,9,Up,40.0,4.0
2118,Dorothy Eisenberg Elementary School,Region 1,2023,42,43,-1,Down,39,37,2,Up,40.5,0.5
2118,Dorothy Eisenberg Elementary School,Region 1,2024,53,42,11,Up,42,39,3,Up,47.5,7.0
2258,Gene Ward Elementary School,Region 1,2020,18,,,,6,,,,12.0,
2258,Gene Ward Elementary School,Region 1,2021,33,18,15,Up,15,6,9,Up,24.0,12.0
2258,Gene Ward Elementary School,Region 1,2022,34,33,1,Up,15,15,0,Flat,24.5,0.5
2258,Gene Ward Elementary School,Region 1,2023,24,34,-10,Down,17,15,2,Up,20.5,-4.0
2258,Gene Ward Elementary School,Region 1,2024,23,24,-1,Down,18,17,1,Up,20.5,0.0
2191,John Tartan Elementary School,Transformation Network,2020,18,,,,,,,,18.0,
2191,John Tartan Elementary School,Transformation Network,2021,16,18,-2,Down,11,,,,13.5,-4.5
2191,John Tartan Elementary School,Transformation Network,2022,22,16,6,Up,13,11,2,Up,17.5,4.0
2191,John Tartan Elementary School,Transformation Network,2023,27,22,5,Up,18,13,5,Up,22.5,5.0
2191,John Tartan Elementary School,Transformation Network,2024,32,27,5,Up,19,18,1,Up,25.5,3.0
2257,William E Ferron Elementary School,Region 2,2020,30,,,,15,,,,22.5,
2257,William E Ferron Elementary School,Region 2,2021,33,30,3,Up,28,15,13,Up,30.5,8.0
2257,William E Ferron Elementary School,Region 2,2022,34,33,1,Up,29,28,1,Up,31.5,1.0
2257,William E Ferron Elementary School,Region 2,2023,38,34,4,Up,33,29,4,Up,35.5,4.0
2257,William E Ferron Elementary School,Region 2,2024,44,38,6,Up,36,33,3,Up,40.0,4.5
2220,Laura Dearing Elementary School,Transformation Network,2020,18,,,,11,,,,14.5,
2220,Laura Dearing Elementary School,Transformation Network,2021,16,18,-2,Down,14,11,3,Up,15.0,0.5
