organization_code,school_name,address,city,state,zip_code
2117,Robert Lunt Elementary School,2701 Harris Ave.,Las Vegas,NV,89101
2118,Dorothy Eisenberg Elementary School,7770 W. Delhi Ave.,Las Vegas,NV,89129
2119,Wing and Lilly Fong Elementary School,2200 James Bilbray Dr.,Las Vegas,NV,89108
2120,James Gibson Elementary School,271 Leisure Cir.,Henderson,NV,89074
2121,Elaine Wynn Elementary School,5655 Edna Ave.,Las Vegas,NV,89146
2122,Charlotte Hill Elementary School,560 E. Eldorado Ln.,Las Vegas,NV,89123
2123,Walter Jacobson Elementary School,8400 Boseck Dr.,Las Vegas,NV,89145
2124,Herbert A Derfelt Elementary School,1900 S. Lisa Ln.,Las Vegas,NV,89117
2125,Cynthia Cunningham Elementary School,4145 Jimmy Durante Blvd.,Las Vegas,NV,89122
2126,David M Cox Elementary School,280 Clark Dr.,Henderson,NV,89074
2127,Harriet Treem Elementary School,1698 Patrick Ln.,Henderson,NV,89014
2128,Richard Rundle Elementary School,425 N. Christy Ln.,Las Vegas,NV,89110
2129,Helen Herr Elementary School,6475 Eagle Creek Ln.,Las Vegas,NV,89156
2130,Jack Dailey Elementary School,2001 E. Reno Ave.,Las Vegas,NV,89119
2131,Kirk Adams Elementary School,580 Fogg St.,Las Vegas,NV,89110
2132,Ernest May Elementary School,6350 W. Washburn Rd.,Las Vegas,NV,89130
2133,Marc Kahre Elementary School,7887 W. Gowan Rd.,Las Vegas,NV,89129
2134,Edythe & Lloyd Katz Elementary School,1800 Rock Springs Dr.,Las Vegas,NV,89128
2135,Helen Jydstrup Elementary School,5150 Duneville St.,Las Vegas,NV,89118
2136,Martha P King Elementary School,888 Adams Blvd.,Boulder City,NV,89005
2137,Selma F Bartlett Elementary School,1961 Wigwam Pkwy.,Henderson,NV,89074
2138,Patricia A Bendorf Elementary School,3550 S. Kevin Way,Las Vegas,NV,89147
2139,Jim Thorpe Elementary School,1650 Patrick Ln.,Henderson,NV,89014
2140,Lee Antonello Elementary School,1101 W. Tropical Pkwy.,N. Las Vegas,NV,89031
2141,William Lummis Elementary School,9000 Hillpointe Rd.,Las Vegas,NV,89134
2142,Louis Wiener Jr Elementary School,450 E. Eldorado Ln.,Las Vegas,NV,89123
2143,H P Fitzgerald Elementary School,2651 Revere St.,N. Las Vegas,NV,89030
2144,Mary & Zel Lowman Elementary School,4225 N. Lamont St.,Las Vegas,NV,89115
2145,Piggott Academy Elementary School,9601 Red Hills Rd.,Las Vegas,NV,89117
2146,Ulis Newton Elementary School,571 Greenway Rd.,Henderson,NV,89015
2147,Lucile Bruner Elementary School,4289 Allen Ln.,N. Las Vegas,NV,89032
2148,Richard H Bryan Elementary School,8050 Cielo Vista Ave.,Las Vegas,NV,89128
2149,Elizabeth Wilhelm Elementary School,609 W. Alexander Rd.,N. Las Vegas,NV,89032
2150,Aggie Roberts Elementary School,227 Charter Oak St.,Henderson,NV,89074
2151,Dean LaMar Allen Elementary School,8680 W. Hammer Ln.,Las Vegas,NV,89149
2152,Eva Wolfe Elementary School,4027 W. Washburn Rd.,N. Las Vegas,NV,89031
2153,Daniel Goldfarb Elementary School,1651 Orchard Valley Dr.,Las Vegas,NV,89142
2154,John Vanderburg Elementary School,2040 Desert Shadow Trail,Henderson,NV,89012
2155,Arturo Cambeiro Elementary School,2851 E. Harris Ave.,Las Vegas,NV,89101
2156,Roger M Bryan Elementary School,8255 W. Katie Ave.,Las Vegas,NV,89147
2157,John W Bonner Elementary School,765 Crestdale Ln.,Las Vegas,NV,89144
2158,Roberta C Cartwright Elementary School,1050 E. Gary Ave.,Las Vegas,NV,89123
2159,Joseph L Bowler Elementary School,451 Vincen Leavitt Ave.,Bunkerville,NV,89007
2160,Betsy Rhodes Elementary School,7350 Tealwood St.,Las Vegas,NV,89131
2161,Addeliar D Guy III Elementary School,4028 La Madre Way,N. Las Vegas,NV,89031
2162,Sue H Morrow Elementary School,1070 Featherwood Ave.,Henderson,NV,89015
2163,Berkeley L Bunker Elementary School,6350 Peak Dr.,Las Vegas,NV,89108
2164,Raul P Elizondo Elementary School,4865 Goldfield St.,N. Las Vegas,NV,89031
2165,Manuel J Cortez Elementary School,4245 E. Tonopah Ave.,Las Vegas,NV,89115
2166,Frank Lamping Elementary School,2551 Summit Grove Dr.,Henderson,NV,89052
2167,Edith Garehime Elementary School,3850 N. Campbell Rd.,Las Vegas,NV,89129
2168,Keith C & Karen W Hayes Elementary School,9620 W. Twain Ave.,Las Vegas,NV,89147
2169,Lorna J Kesterson Elementary School,231 Bailey Island Dr.,Henderson,NV,89074
2170,Joseph M Neal Elementary School,6651 W. Azure Dr.,Las Vegas,NV,89130
2171,Kay Carl Elementary School,5625 Corbett St.,Las Vegas,NV,89130
2172,Marshall C Darnell Elementary School,9480 W. Tropical Pkwy.,Las Vegas,NV,89149
2173,Howard E Heckethorn Elementary School,5150 Whispering Sands Dr.,Las Vegas,NV,89131
2174,Lucille S Rogers Elementary School,5535 S. Riley St.,Las Vegas,NV,89148
2175,William E Snyder Elementary School,4317 E. Colorado Ave.,Las Vegas,NV,89104
2176,Neil C Twitchell Elementary School,2060 Desert Shadow Trail,Henderson,NV,89012
2177,Fredric W Watson Elementary School,5845 N. Commerce St.,N. Las Vegas,NV,89031
